requested_hot_wall_temperature_K,cea_wall_temperature_K,wall_enthalpy_J_per_kg,wall_conductivity_W_per_m_K,wall_cp_J_per_kg_K,reference_enthalpy_J_per_kg,reference_temperature_K,reference_conductivity_W_per_m_K,reference_cp_J_per_kg_K,reference_viscosity_Pa_s,reference_Prandtl,solid_water_mole_fraction,liquid_water_mole_fraction
255.40000000001714,255.39999389648438,-15443477.544236187,0.15735259774872928,11218.737736291041,-11148219.157529447,873.8062779722646,0.15438266657690744,2881.315558447093,3.313898001784836e-05,0.6184882074758532,0.6504492949013303,0.0
255.45000000001716,255.4499969482422,-15443115.324829701,0.1573396708529611,11208.218361951116,-11148038.047826204,873.8693309193794,0.15439344742545666,2881.3622587434515,3.314129995663747e-05,0.6184983397488817,0.6503923962545686,0.0
255.50000000001717,255.5,-15442752.0138772,0.15732657090878238,11197.673088291127,-11147856.392349955,873.9320306019586,0.1544041679383377,2881.4086987973574,3.314360684649633e-05,0.6185084143269554,0.6503352327474409,0.0
255.55000000001718,255.5500030517578,-15442387.60646505,0.15731329732280308,11187.101945483946,-11147674.18864388,873.9954337476971,0.15441500879744263,2881.4556613118443,3.314593956684778e-05,0.6185186009973894,0.6502778031653579,0.0
255.6000000000172,255.60000610351562,-15442022.097655796,0.15729984950011366,11176.50496431952,-11147491.434239253,874.0588358600369,0.15442584954694963,2881.502624492149,3.314827219708252e-05,0.6185287865567722,0.6502201062878181,0.0
255.6500000000172,255.64999389648438,-15441655.594532505,0.15728623102806916,11165.885421760237,-11147308.182677608,874.1225891645632,0.15443675041236232,2881.5498492505017,3.315061769551661e-05,0.6185390275825846,0.650162158618033,0.0
255.7000000000172,255.6999969482422,-15441287.868360473,0.15727243299479793,11155.236866590974,-11147124.319591591,874.1863414240679,0.154447651166923,2881.5970746819276,3.315296310283028e-05,0.618549267485483,0.6501039235468268,0.0
255.75000000001722,255.75,-15440919.025836064,0.15725845893118132,11144.562569145348,-11146939.898329386,874.2500926388374,0.15445855181066925,2881.644300786552,3.315530841903626e-05,0.618559506265788,0.6500454174833131,0.0
255.80000000001723,255.8000030517578,-15440549.061925014,0.15724430823624796,11133.862562696864,-11146754.916373862,874.3145472247168,0.1544695727908341,2881.692049410843,3.3157679557714165e-05,0.6185698570407848,0.6499866391830442,0.0
255.85000000001725,255.85000610351562,-15440177.971568592,0.15722998030751179,11123.136881142278,-11146569.371195652,874.3790007426834,0.15448059365770742,2881.739798723159,3.316005060326585e-05,0.6185802066688098,0.6499275873955085,0.0
255.90000000001726,255.89999389648438,-15439805.86344267,0.1572154789946987,11112.388843753593,-11146383.317132689,874.4434531925291,0.1544916144112509,2881.787548723359,3.3162421555685865e-05,0.6185905551500988,0.6498682790100335,0.0
